45.68.50.0/24,GT,GT-GU,Ciudad de Guatemala,1001
45.68.51.0/24,GT,GT-GU,Ciudad de Guatemala,1001
2803:cd60:8c00::/38,MX,MX-CMX,Ciudad de México,01000
131.161.200.0/22,PE,PE-LIM,Lima,15001
131.161.201.0/24,PE,PE-LIM,Lima,15001
131.161.202.0/24,PE,PE-LIM,Lima,15001
131.161.203.0/24,PE,PE-LIM,Lima,15001
132.255.236.0/22,PE,PE-LIM,Lima,15001
132.255.236.0/24,PE,PE-LIM,Lima,15001
138.185.12.0/22,PE,PE-LIM,Lima,15001
138.185.12.0/24,PE,PE-LIM,Lima,15001
138.185.13.0/24,PE,PE-LIM,Lima,15001
138.185.13.224/30,PE,PE-LIM,Lima,15001
138.185.13.228/30,PE,PE-LIM,Lima,15001
138.185.13.240/28,PE,PE-LIM,Lima,15001
138.99.176.0/24,PE,PE-LIM,Lima,15001
168.194.168.0/22,PE,PE-LIM,Lima,15001
168.194.168.0/24,PE,PE-LIM,Lima,15001
168.194.169.0/24,PE,PE-ARE,Arequipa,04001
168.90.156.0/22,PE,PE-LIM,Lima,15001
168.90.156.0/24,PE,PE-LIM,Lima,15001
168.90.157.0/24,PE,PE-LIM,Lima,15001
168.90.158.0/24,PE,PE-LIM,Lima,15001
168.90.159.0/24,PE,PE-LIM,Lima,15001
170.82.224.0/22,PE,PE-LIM,Lima,15001
170.82.224.0/24,PE,PE-LIM,Lima,15001
170.82.224.192/26,PE,PE-LIM,Lima,15001
170.82.225.0/27,PE,PE-LIM,Lima,15001
170.82.226.0/23,PE,PE-LIM,Lima,15001
172.16.42.0/30,PE,PE-LIM,Lima,15001
2001:db8::/33,PE,PE-LIM,Lima,15001
201.218.128.0/19,PE,PE-LIM,Lima,15001
201.218.128.0/24,PE,PE-LIM,Lima,15001
201.218.131.0/24,CO,CO-DC,Bogota,110111
201.218.132.0/24,CO,CO-DC,Bogota,110111
201.218.134.0/24,PE,PE-LIM,Lima,15001
201.218.135.0/24,PE,PE-LIM,Lima,15001
201.218.136.0/24,PE,PE-ARE,Arequipa,04001
201.218.137.0/24,PE,PE-LIM,Lima,15001
201.218.138.0/24,PE,PE-LIM,Lima,15001
201.218.139.0/24,PE,PE-LIM,Lima,15001
201.218.140.0/24,PE,PE-ARE,Arequipa,04001
201.218.141.0/24,PE,PE-LIM,Lima,15001
201.218.142.0/24,PE,PE-LIM,Lima,15001
201.218.143.0/24,PE,PE-LIM,Lima,15001
201.218.145.0/24,PE,PE-LIM,Lima,15001
201.218.146.0/24,PE,PE-ARE,Arequipa,04001
201.218.147.0/24,PE,PE-LIM,Lima,15001
201.218.148.0/24,PE,PE-LIM,Lima,15001
201.218.149.0/24,PE,PE-LIM,Lima,15001
201.218.150.0/24,PE,PE-ARE,Arequipa,04001
201.218.151.0/24,PE,PE-LIM,Lima,15001
201.218.152.0/24,PE,PE-LIM,Lima,15001
201.218.153.0/24,PE,PE-LIM,Lima,15001
201.218.154.0/24,PE,PE-LIM,Lima,15001
201.218.155.0/24,PE,PE-LIM,Lima,15001
201.218.156.0/24,PE,PE-LIM,Lima,15001
201.218.158.0/24,PE,PE-LIM,Lima,15001
2803:5200:6412::/48,PE,PE-LIM,Lima,15001
2803:5200:6412:1110::/126,PE,PE-LIM,Lima,15001
2803:5200:6412:1110::4/126,PE,PE-LIM,Lima,15001
2803:5200:6412:1111::/64,PE,PE-LIM,Lima,15001
2803:5200:6413::/48,PE,PE-LIM,Lima,15001
2803:5200:6420::/44,PE,PE-LIM,Lima,15001
2803:b0e0::/112,PE,PE-LIM,Lima,15001
2803:b0e0::/126,PE,PE-LIM,Lima,15001
2803:b0e0::4/126,PE,PE-LIM,Lima,15001
2803:b0e0::8/126,PE,PE-LIM,Lima,15001
2803:b0e0:2698::/48,PE,PE-LIM,Lima,15001
2803:b0e0:2698:62::/64,PE,PE-LIM,Lima,15001
2803:b0e0:2699::/48,PE,PE-LIM,Lima,15001
2803:b0e0:269c::/48,PE,PE-LIM,Lima,15001
2803:b0e0:26a0::/44,PE,PE-LIM,Lima,15001
2803:b0e0:26a0::/48,PE,PE-LIM,Lima,15001
2803:b0e0:26a0::/64,PE,PE-LIM,Lima,15001
2803:b0e0:26a0:1::/126,PE,PE-LIM,Lima,15001
2803:b0e0:26a1::/48,PE,PE-LIM,Lima,15001
2803:b0e0:26a1::/64,PE,PE-LIM,Lima,15001
2803:b0e0:26a1:2::/126,PE,PE-LIM,Lima,15001
2803:b0e0:26ae::/48,PE,PE-LIM,Lima,15001
2803:b0e0:26af::/48,PE,PE-LIM,Lima,15001
2803:b0e0:7002::/48,PE,PE-LIM,Lima,15001
2803:b0e0:7006::/48,PE,PE-LIM,Lima,15001
2803:b0e0:8000::/48,PE,PE-LIM,Lima,15001
2803:b0e0:8003::/48,PE,PE-LIM,Lima,15001
2803:b0e0:8005::/48,PE,PE-LAL,Trujillo,13001
2803:b0e0:8006::/48,PE,PE-LAM,Chiclayo,14001
2803:b0e0:8008::/46,PE,PE-LIM,Lima,15001
2803:b0e0:800d::/48,PE,PE-ARE,Arequipa,04001
2803:b0e0:800f::/48,PE,PE-LIM,Lima,15001
2803:b0e0:8010::/48,PE,PE-LAM,Chiclayo,14001
2803:b0e0:8012::/48,PE,PE-PIU,Piura,20001
2803:b0e0:8012::/48,PE,PE-LIM,Lima,15001
2803:b0e0:8015::/48,PE,PE-PIU,Piura,20001
2803:b0e0:8019::/48,PE,PE-LAL,Trujillo,13001
2803:b0e0:8021::/48,PE,PE-ARE,Arequipa,04001
2803:b0e0:9974::/48,PE,PE-LIM,Lima,15001
2803:b0e0:9975::/48,PE,PE-LAM,Chiclayo,14001
2803:b0e0:9976::/48,PE,PE-LIM,Lima,15001
2803:b0e0:9977::/48,PE,PE-ARE,Arequipa,04001
2803:b0e0:9979::/48,PE,PE-LIM,Lima,15001
2803:b0e0:9981::/48,PE,PE-ARE,Arequipa,04001
2803:b0e0:9983::/48,PE,PE-ARE,Arequipa,04001
2803:b0e0:9985::/48,PE,PE-LIM,Lima,15001
2803:b0e0:9987::/48,PE,PE-ARE,Arequipa,04001
2803:b0e0:9989::/48,PE,PE-ARE,Arequipa,04001
2803:b0e0:998a::/48,PE,PE-LIM,Lima,15001
2803:b0e0:9993::/48,PE,PE-ARE,Arequipa,04001
2803:b0e0:9994::/48,PE,PE-LIM,Lima,15001
2803:b0e0:9995::/48,PE,PE-LIM,Lima,15001
2803:b0e0:9996::/48,PE,PE-LIM,Lima,15001
2803:b0e0:9997::/48,PE,PE-LIM,Lima,15001
2803:b0e0:9998::/48,PE,PE-LIM,Lima,15001
2803:b0e0:999a::/48,PE,PE-LIM,Lima,15001
2803:b0e0:99c0::/48,PE,PE-LIM,Lima,15001
2803:b0e0:99c0::/64,PE,PE-LIM,Lima,15001
2803:b0e0:99c0:1::/126,PE,PE-LIM,Lima,15001
2803:b0e0:99c0:1::4/126,PE,PE-LIM,Lima,15001
